,,,,,,,,,,,,,
,,This is your plan:,,,,,,,,,,,
,,"
- when you finish all the categories in the questions, you go with the second round of finishing up all the categories.
- Go through question bank's explanantion and go to related questions
- Go with wrong answers first
- And then flagged correct answers

- after that you will go with the weakest chapters, and you will revise them using other resources like Gems from the Plabable team, and Statpearls website
- then you have to go through roughly with mock tests (if you got great scores, then you go with a big mock, which was made for October 2024)
- then just relax and meditate throughout preparing for the exam.
- simulate some exam conditions (including searching for actual exam paper styles, and buying pencils and necessary things for the actual exam)
",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Final revision,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"Actual corrected 
question numbers",,,,Plabable scores,,,,Number of questions,No. of wrong answers
,,,,Me,Peers,,Deficit,Me,Peers,Deficit %,,,
,,1,Psychiatry,173,207,TRUE,34,65.85%,78.59%,,,263,90
,,2,Obstetrics and Gynaecology,203,227,TRUE,24,64.56%,72.20%,,,315,112
,,3,Paediatrics,181,201,TRUE,20,64.95%,72.06%,,,279,98
,,4,Ethics,100,115,TRUE,16,68.71%,79.55%,,,145,45
,,5,Breast Surgery,21,33,TRUE,12,48.94%,76.42%,,,43,22
,,,,,,,,,,,,,
,,6,Genetics,48,59,TRUE,11,62.82%,77.04%,,,76,28
,,7,Dermatology,91,102,TRUE,11,67.11%,74.93%,,,136,45
,,8,Gastroenterology,118,129,TRUE,11,69.89%,76.51%,,,169,51
,,9,Respiratory medicine,118,129,TRUE,11,69.57%,76.10%,,,170,52
,,10,Emergency medicine,130,141,TRUE,11,67.96%,73.82%,,,191,61
,,11,Infectious disease,105,114,TRUE,10,69.68%,76.07%,,,150,45
,,12,Urology,85,94,TRUE,9,69.70%,77.03%,,,122,37
,,,,,,,,,,,,,
,,13,ENT,114,121,TRUE,7,72.56%,77.18%,,,157,43
,,14,Haematology,127,134,TRUE,7,74.71%,78.87%,,,170,43
,,15,Orthopaedics,75,82,TRUE,7,67.77%,74.44%,,,110,35
,,16,Perioperative medicine,8,14,TRUE,6,39.13%,69.40%,,,20,12
,,17,Genitourinary medicine,29,34,TRUE,5,66.67%,78.54%,,,43,14
,,18,Rheumatology,41,45,TRUE,4,70.31%,77.58%,,,58,17
,,,,,,,,,,,,,
,,19,Pharmacology,98,102,TRUE,4,69.13%,71.73%,-3%,,142,44
,,20,Ophthalmology,69,73,TRUE,3,75.25%,78.83%,,,92,23
,,21,Endocrinology,170,173,TRUE,3,73.49%,74.68%,-1%,,231,61
,,22,Palliative Care,53,55,TRUE,2,64.77%,67.43%,-3%,,82,29
,,23,Epidemiology,56,57,TRUE,2,68.18%,70.11%,-2%,,82,26
,,24,Oncology,14,15,TRUE,1,65.22%,71.43%,-6%,,21,7
,,,,,,,,,,,,,
,,28,Neurology,204,204,TRUE,0,74.47%,74.52%,0%,,274,70
,,29,Cardiology,148,148,TRUE,-1,72.27%,71.98%,0%,,205,57
,,27,General Surgery,95,95,FALSE,0,75.19%,75.48%,0%,,126,31
,,30,Nephrology,73,72,FALSE,-1,81.55%,79.89%,2%,,90,17
,,31,Anatomy,78,73,FALSE,-6,80.77%,74.90%,6%,,97,19
,,26,Anesthesiology,39,39,FALSE,0,67.80%,67.87%,0%,,57,18
,,32,Critical Care,36,32,FALSE,-4,77.55%,69.06%,8%,,46,10
,,33,Vascular Surgery,29,28,FALSE,-2,83.33%,78.65%,5%,,35,6
,,34,Radiology,28,24,FALSE,-4,82.35%,69.34%,13%,,34,6
,,35,Geriatric medicine,10,9,FALSE,-1,83.33%,75.18%,8%,,12,2
,,25,Human factors and Quality improvement,6,6,FALSE,0,71.43%,71.73%,0%,,9,3
,,36,Maxillofacial surgery,7,7,FALSE,0,87.50%,84.54%,3%,,8,1
,,,,,,,,,,,,,
,,,,,,,,,,,,,1281
